tournament_id,match_id,stage_name,group_stage,knockout_stage,match_date,match_time,match_datetime,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout
WC-2006,M-2006-09,group stage,1,0,2006-06-12,15:00,2006-06-12 15:00:00,Kaiserslautern,Germany,T-04,Australia,AUS,T-44,Japan,JPN,3,1,2,-2,0,0
WC-2006,M-2006-10,group stage,1,0,2006-06-12,18:00,2006-06-12 18:00:00,Gelsenkirchen,Germany,T-83,United States,USA,T-20,Czech Republic,CZE,0,3,-3,3,0,0
WC-2006,M-2006-11,group stage,1,0,2006-06-12,21:00,2006-06-12 21:00:00,Hanover,Germany,T-41,Italy,ITA,T-32,Ghana,GHA,2,0,2,-2,0,0
WC-2006,M-2006-13,group stage,1,0,2006-06-13,18:00,2006-06-13 18:00:00,Stuttgart,Germany,T-30,France,FRA,T-75,Switzerland,CHE,0,0,0,0,0,0
WC-2006,M-2006-14,group stage,1,0,2006-06-13,21:00,2006-06-13 21:00:00,Berlin,Germany,T-09,Brazil,BRA,T-18,Croatia,HRV,1,0,1,-1,0,0
WC-2006,M-2006-12,group stage,1,0,2006-06-13,15:00,2006-06-13 15:00:00,Frankfurt,Germany,T-71,South Korea,KOR,T-77,Togo,TGO,2,1,1,-1,0,0
WC-2006,M-2006-16,group stage,1,0,2006-06-14,18:00,2006-06-14 18:00:00,Munich,Germany,T-79,Tunisia,TUN,T-63,Saudi Arabia,SAU,2,2,0,0,0,0
WC-2006,M-2006-17,group stage,1,0,2006-06-14,21:00,2006-06-14 21:00:00,Dortmund,Germany,T-31,Germany,DEU,T-57,Poland,POL,1,0,1,-1,0,0
WC-2006,M-2006-15,group stage,1,0,2006-06-14,15:00,2006-06-14 15:00:00,Leipzig,Germany,T-73,Spain,ESP,T-81,Ukraine,UKR,4,0,4,-4,0,0
WC-2006,M-2006-20,group stage,1,0,2006-06-15,21:00,2006-06-15 21:00:00,Berlin,Germany,T-74,Sweden,SWE,T-55,Paraguay,PRY,1,0,1,-1,0,0
WC-2006,M-2006-19,group stage,1,0,2006-06-15,18:00,2006-06-15 18:00:00,Nuremberg,Germany,T-28,England,ENG,T-78,Trinidad and Tobago,TTO,2,0,2,-2,0,0
WC-2006,M-2006-18,group stage,1,0,2006-06-15,15:00,2006-06-15 15:00:00,Hamburg,Germany,T-25,Ecuador,ECU,T-17,Costa Rica,CRI,3,0,3,-3,0,0
WC-2006,M-2006-21,group stage,1,0,2006-06-16,15:00,2006-06-16 15:00:00,Gelsenkirchen,Germany,T-03,Argentina,ARG,T-67,Serbia and Montenegro,SCG,6,0,6,-6,0,0
