tournament_id,match_id,match_date,stage_name,match_period,team_id,team_name,home_team,away_team,card_minute,is_yellow,is_red
WC-2018,M-2018-07,2018-06-16,group stage,first half,T-56,Peru,1,0,38,True,False
WC-2018,M-2018-07,2018-06-16,group stage,second half,T-22,Denmark,0,1,86,True,False
WC-2018,M-2018-07,2018-06-16,group stage,"second half, stoppage time",T-22,Denmark,0,1,93,True,False
WC-2018,M-2018-08,2018-06-16,group stage,first half,T-18,Croatia,1,0,30,True,False
WC-2018,M-2018-08,2018-06-16,group stage,second half,T-50,Nigeria,0,1,70,True,False
WC-2018,M-2018-08,2018-06-16,group stage,second half,T-18,Croatia,1,0,89,True,False
WC-2018,M-2018-09,2018-06-17,group stage,first half,T-17,Costa Rica,1,0,22,True,False
WC-2018,M-2018-09,2018-06-17,group stage,second half,T-17,Costa Rica,1,0,56,True,False
WC-2018,M-2018-09,2018-06-17,group stage,second half,T-66,Serbia,0,1,59,True,False
WC-2018,M-2018-09,2018-06-17,group stage,"second half, stoppage time",T-66,Serbia,0,1,98,True,False
WC-2018,M-2018-10,2018-06-17,group stage,first half,T-46,Mexico,0,1,40,True,False
WC-2018,M-2018-10,2018-06-17,group stage,second half,T-31,Germany,1,0,83,True,False
WC-2018,M-2018-10,2018-06-17,group stage,second half,T-31,Germany,1,0,84,True,False
WC-2018,M-2018-10,2018-06-17,group stage,second half,T-46,Mexico,0,1,90,True,False
WC-2018,M-2018-11,2018-06-17,group stage,first half,T-75,Switzerland,0,1,31,True,False
WC-2018,M-2018-11,2018-06-17,group stage,second half,T-09,Brazil,1,0,47,True,False
WC-2018,M-2018-11,2018-06-17,group stage,second half,T-75,Switzerland,0,1,65,True,False
WC-2018,M-2018-11,2018-06-17,group stage,second half,T-75,Switzerland,0,1,68,True,False
WC-2018,M-2018-12,2018-06-18,group stage,first half,T-71,Korea Republic,0,1,13,True,False
WC-2018,M-2018-12,2018-06-18,group stage,second half,T-71,Korea Republic,0,1,55,True,False
WC-2018,M-2018-12,2018-06-18,group stage,second half,T-74,Sweden,1,0,61,True,False
WC-2018,M-2018-13,2018-06-18,group stage,first half,T-06,Belgium,1,0,14,True,False
WC-2018,M-2018-13,2018-06-18,group stage,first half,T-54,Panama,0,1,18,True,False
WC-2018,M-2018-13,2018-06-18,group stage,"first half, stoppage time",T-54,Panama,0,1,47,True,False
WC-2018,M-2018-13,2018-06-18,group stage,second half,T-54,Panama,0,1,49,True,False
WC-2018,M-2018-13,2018-06-18,group stage,second half,T-54,Panama,0,1,51,True,False
WC-2018,M-2018-13,2018-06-18,group stage,second half,T-54,Panama,0,1,57,True,False
WC-2018,M-2018-13,2018-06-18,group stage,second half,T-06,Belgium,1,0,59,True,False
WC-2018,M-2018-13,2018-06-18,group stage,second half,T-06,Belgium,1,0,88,True,False
WC-2018,M-2018-14,2018-06-18,group stage,first half,T-28,England,0,1,33,True,False
WC-2018,M-2018-15,2018-06-19,group stage,first half,T-16,Colombia,1,0,3,False,True
WC-2018,M-2018-15,2018-06-19,group stage,second half,T-16,Colombia,1,0,64,True,False
WC-2018,M-2018-15,2018-06-19,group stage,second half,T-16,Colombia,1,0,86,True,False
WC-2018,M-2018-15,2018-06-19,group stage,"second half, stoppage time",T-44,Japan,0,1,94,True,False
WC-2018,M-2018-16,2018-06-19,group stage,first half,T-57,Poland,1,0,12,True,False
WC-2018,M-2018-16,2018-06-19,group stage,second half,T-65,Senegal,0,1,49,True,False
WC-2018,M-2018-16,2018-06-19,group stage,second half,T-65,Senegal,0,1,72,True,False
WC-2018,M-2018-17,2018-06-19,group stage,second half,T-26,Egypt,0,1,57,True,False
WC-2018,M-2018-17,2018-06-19,group stage,second half,T-62,Russia,1,0,84,True,False
WC-2018,M-2018-18,2018-06-20,group stage,first half,T-47,Morocco,0,1,40,True,False
WC-2018,M-2018-18,2018-06-20,group stage,"second half, stoppage time",T-58,Portugal,1,0,92,True,False
WC-2018,M-2018-20,2018-06-20,group stage,second half,T-38,IR Iran,1,0,79,True,False
WC-2018,M-2018-20,2018-06-20,group stage,"second half, stoppage time",T-38,IR Iran,1,0,92,True,False
WC-2018,M-2018-21,2018-06-21,group stage,first half,T-22,Denmark,1,0,37,True,False
WC-2018,M-2018-21,2018-06-21,group stage,second half,T-22,Denmark,1,0,84,True,False
WC-2018,M-2018-22,2018-06-21,group stage,first half,T-30,France,1,0,16,True,False
WC-2018,M-2018-22,2018-06-21,group stage,first half,T-56,Peru,0,1,23,True,False
WC-2018,M-2018-22,2018-06-21,group stage,second half,T-56,Peru,0,1,81,True,False
WC-2018,M-2018-22,2018-06-21,group stage,second half,T-30,France,1,0,86,True,False
WC-2018,M-2018-23,2018-06-21,group stage,first half,T-18,Croatia,0,1,39,True,False
WC-2018,M-2018-23,2018-06-21,group stage,second half,T-03,Argentina,1,0,51,True,False
