key_id,goal_id,tournament_id,match_id,match_name,match_date,stage_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty,minute_total
2127,G-2127,WC-2002,M-2002-19,Cameroon vs Saudi Arabia,2002-06-06,group stage,T-11,Cameroon,CMR,1,0,P-61703,Eto'o,Samuel,9,T-11,Cameroon,CMR,66',66,0,second half,False,False,66
2128,G-2128,WC-2002,M-2002-21,Sweden vs Nigeria,2002-06-07,group stage,T-50,Nigeria,NGA,0,1,P-74228,Aghahowa,Julius,17,T-50,Nigeria,NGA,27',27,0,first half,False,False,27
2129,G-2129,WC-2002,M-2002-21,Sweden vs Nigeria,2002-06-07,group stage,T-74,Sweden,SWE,1,0,P-42895,Larsson,Henrik,11,T-74,Sweden,SWE,35',35,0,first half,False,False,35
2130,G-2130,WC-2002,M-2002-21,Sweden vs Nigeria,2002-06-07,group stage,T-74,Sweden,SWE,1,0,P-42895,Larsson,Henrik,11,T-74,Sweden,SWE,63',63,0,second half,False,True,63
2131,G-2131,WC-2002,M-2002-22,Spain vs Paraguay,2002-06-07,group stage,T-55,Paraguay,PRY,0,1,P-51089,Puyol,Carles,5,T-73,Spain,ESP,10',10,0,first half,True,False,10
2132,G-2132,WC-2002,M-2002-22,Spain vs Paraguay,2002-06-07,group stage,T-73,Spain,ESP,1,0,P-08514,Morientes,Fernando,9,T-73,Spain,ESP,53',53,0,second half,False,False,53
2133,G-2133,WC-2002,M-2002-22,Spain vs Paraguay,2002-06-07,group stage,T-73,Spain,ESP,1,0,P-08514,Morientes,Fernando,9,T-73,Spain,ESP,69',69,0,second half,False,False,69
2134,G-2134,WC-2002,M-2002-22,Spain vs Paraguay,2002-06-07,group stage,T-73,Spain,ESP,1,0,P-35246,Hierro,Fernando,6,T-73,Spain,ESP,83',83,0,second half,False,True,83
2135,G-2135,WC-2002,M-2002-23,Argentina vs England,2002-06-07,group stage,T-28,England,ENG,0,1,P-81049,Beckham,David,7,T-28,England,ENG,44',44,0,first half,False,True,44
2136,G-2136,WC-2002,M-2002-24,South Africa vs Slovenia,2002-06-08,group stage,T-70,South Africa,ZAF,1,0,P-22393,Nomvethe,Siyabonga,14,T-70,South Africa,ZAF,4',4,0,first half,False,False,4
2137,G-2137,WC-2002,M-2002-25,Italy vs Croatia,2002-06-08,group stage,T-41,Italy,ITA,1,0,P-34670,Vieri,Christian,21,T-41,Italy,ITA,55',55,0,second half,False,False,55
2138,G-2138,WC-2002,M-2002-25,Italy vs Croatia,2002-06-08,group stage,T-18,Croatia,HRV,0,1,P-13265,Olić,Ivica,18,T-18,Croatia,HRV,73',73,0,second half,False,False,73
2139,G-2139,WC-2002,M-2002-25,Italy vs Croatia,2002-06-08,group stage,T-18,Croatia,HRV,0,1,P-55293,Rapaić,Milan,5,T-18,Croatia,HRV,76',76,0,second half,False,False,76
2140,G-2140,WC-2002,M-2002-26,Brazil vs China,2002-06-08,group stage,T-09,Brazil,BRA,1,0,P-85176,Carlos,Roberto,6,T-09,Brazil,BRA,15',15,0,first half,False,False,15
2141,G-2141,WC-2002,M-2002-26,Brazil vs China,2002-06-08,group stage,T-09,Brazil,BRA,1,0,P-74261,Rivaldo,not applicable,10,T-09,Brazil,BRA,32',32,0,first half,False,False,32
2142,G-2142,WC-2002,M-2002-26,Brazil vs China,2002-06-08,group stage,T-09,Brazil,BRA,1,0,P-57361,Ronaldinho,not applicable,11,T-09,Brazil,BRA,45',45,0,first half,False,True,45
2143,G-2143,WC-2002,M-2002-26,Brazil vs China,2002-06-08,group stage,T-09,Brazil,BRA,1,0,P-62722,Ronaldo,not applicable,9,T-09,Brazil,BRA,55',55,0,second half,False,False,55
2144,G-2144,WC-2002,M-2002-27,Mexico vs Ecuador,2002-06-09,group stage,T-25,Ecuador,ECU,0,1,P-19156,Delgado,Agustín,11,T-25,Ecuador,ECU,5',5,0,first half,False,False,5
2145,G-2145,WC-2002,M-2002-27,Mexico vs Ecuador,2002-06-09,group stage,T-46,Mexico,MEX,1,0,P-81643,Borgetti,Jared,9,T-46,Mexico,MEX,28',28,0,first half,False,False,28
2146,G-2146,WC-2002,M-2002-27,Mexico vs Ecuador,2002-06-09,group stage,T-46,Mexico,MEX,1,0,P-89297,Torrado,Gerardo,6,T-46,Mexico,MEX,57',57,0,second half,False,False,57
2147,G-2147,WC-2002,M-2002-28,Costa Rica vs Turkey,2002-06-09,group stage,T-80,Turkey,TUR,0,1,P-46497,Belözoğlu,Emre,21,T-80,Turkey,TUR,56',56,0,second half,False,False,56
